scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance
233,3,231,401.8857,0.1336,1203.3651,1202.6354,1202.6354,0.0400,100.00,1029,387
233,3,175,387.5565,0.2861,1160.3579,1159.6476,1159.6476,0.0400,9.31,260,0
234,3,723,401.8854,0.0468,1203.3642,1202.6345,1202.6345,0.0583,100.00,1293,480
234,3,75,387.5565,0.2859,1160.3579,1159.6475,1159.6475,0.0583,9.31,260,0
234,3,211,367.1642,0.3743,1099.1425,1098.4708,1098.4708,0.0319,100.00,236,11
235,3,330,401.8894,0.0560,1203.3762,1202.6465,1202.6465,0.6324,100.00,1451,480
235,3,260,387.5566,0.2942,1160.3583,1159.6480,1159.6480,0.0361,9.64,259,0
236,3,361,401.8896,0.0649,1203.3767,1202.6470,1202.6470,0.0571,100.00,1260,481
236,1,14,366.2074,0.1568,363.4149,363.1947,363.1947,0.0571,100.00,193,334
237,3,490,401.8940,0.1351,1203.3900,1202.6603,1202.6603,0.0000,75.74,727,366
238,3,42,402.2114,0.1715,1203.3485,1202.6094,1202.6094,0.0000,100.00,480,212
238,1,68,353.9209,0.1196,353.1321,352.9137,352.9137,0.0000,100.00,317,0
239,1,99,353.9209,0.1216,353.1321,352.9137,352.9137,0.0000,100.00,317,0
240,3,11,369.9062,0.1071,1107.3712,1106.6967,1106.6967,0.0000,100.00,1045,197
240,2,103,313.2138,0.1326,624.7961,624.4130,624.4130,0.0000,3.42,416,0
240,3,157,353.5755,0.1118,1058.3496,1057.7047,1057.7047,0.0000,3.93,395,42
240,2,109,312.6915,0.1283,623.7514,623.3684,623.3684,0.0000,13.45,312,29
241,3,223,369.9044,0.0499,1107.3657,1106.6913,1106.6913,0.0361,100.00,4905,954
241,3,485,417.2429,0.0569,1249.4733,1248.7067,1248.7067,0.0440,115.01,683,67
241,3,255,353.5776,0.0982,1058.3559,1057.7110,1057.7110,0.0440,5.53,580,42
241,2,255,313.2074,0.1329,624.7834,624.4002,624.4002,0.0378,3.73,575,0
241,4,58,365.1999,0.1332,1457.7482,1456.7704,1456.7704,0.0378,100.00,299,46
242,3,1415,369.9079,0.0432,1107.3764,1106.7019,1106.7019,0.0588,100.00,11951,2359
242,2,330,313.2050,0.1246,624.7785,624.3954,624.3954,0.0399,8.36,836,0
242,2,280,312.6955,0.1736,623.7593,623.3764,623.3764,0.0257,122.13,826,85
242,3,345,417.2411,0.0945,1249.4680,1248.7014,1248.7014,0.0492,121.56,722,40
242,3,211,353.5776,0.0954,1058.3559,1057.7110,1057.7110,0.0492,5.53,580,72
243,3,5373,369.9099,0.0512,1107.3823,1106.7078,1106.7078,0.0619,100.00,19998,3184
243,2,564,312.6951,0.0682,623.7586,623.3756,623.3756,0.0379,541.06,2179,383
243,3,13,417.2364,0.0743,1249.4539,1248.6873,1248.6873,0.0379,159.46,810,76
