scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance
221,1,72,295.6304,0.0776,294.8027,294.6231,294.6231,0.0000,100.00,542,0
222,2,459,295.6284,0.0693,589.6001,589.2424,589.2424,0.0282,100.00,1243,208
223,2,352,295.6293,0.0654,589.6017,589.2440,589.2440,0.0414,100.00,1627,208
224,2,903,295.6299,0.0568,589.6030,589.2453,589.2453,0.0470,100.00,1688,209
224,2,329,287.1265,0.1585,572.5844,572.2385,572.2385,0.0423,100.00,429,69
225,2,580,295.6289,0.0428,589.6010,589.2433,589.2433,1.2023,100.00,1457,6
226,2,181,295.6279,0.0363,589.5989,589.2412,589.2412,0.0000,5.02,1415,0
226,2,317,286.6336,0.1538,569.5930,569.2473,569.2473,0.0292,10.15,92,238
227,2,2,286.6305,0.2635,569.5867,569.2410,569.2410,0.0000,18.13,92,400
228,2,300,287.1115,0.0600,572.5543,572.2085,572.2085,0.5225,5.28,538,17
230,3,94,367.1725,0.1549,1099.1674,1098.4957,1098.4957,0.0000,100.00,376,105
230,3,94,366.8273,0.2905,1098.1317,1097.4601,1097.4601,0.0000,100.00,282,105
231,3,137,367.1710,0.0968,1099.1629,1098.4912,1098.4912,0.0000,100.00,361,105
231,3,187,366.8273,0.3325,1098.1317,1097.4601,1097.4601,0.0632,100.00,282,179
232,3,223,366.8273,0.1988,1098.1317,1097.4601,1097.4601,0.0000,100.00,282,179
233,3,112,366.8273,0.1906,1098.1317,1097.4601,1097.4601,0.0000,100.00,282,179
235,3,75,339.2250,0.1582,1015.2695,1014.6533,1014.6533,0.0000,10.65,553,0
236,3,180,338.9052,0.3034,1014.3098,1013.6937,1013.6937,0.0000,3.58,403,203
237,3,545,338.9002,0.2029,1014.2947,1013.6786,1013.6786,0.0569,35.42,1114,203
237,1,119,342.6511,0.0389,341.8511,341.6439,341.6439,0.0569,100.00,342,119
238,4,298,338.8934,0.1775,1352.4565,1351.5446,1351.5446,0.0000,100.00,1065,0
238,4,298,338.8737,0.1698,1352.3775,1351.4656,1351.4656,0.0000,100.00,896,0
238,3,315,339.2318,0.1597,1015.2898,1014.6736,1014.6736,0.2113,100.00,762,0
238,4,298,338.9129,0.2022,1352.5343,1351.6224,1351.6224,0.2113,100.00,638,0
238,3,315,339.2508,0.1463,1015.3468,1014.7306,1014.7306,0.2113,100.00,413,0
238,3,32,353.5664,0.2372,1058.3223,1057.6774,1057.6774,0.2113,100.00,399,311
239,3,669,338.8973,0.1526,1014.2861,1013.6700,1013.6700,0.0584,100.00,1114,203
239,3,255,353.5812,0.3276,1058.3667,1057.7218,1057.7218,0.0584,9.15,770,1232
240,2,573,312.6912,0.0807,623.7507,623.3678,623.3678,0.0395,120.56,2769,315
240,2,501,354.1918,0.0778,706.7959,706.3691,706.3691,0.0358,100.00,1644,25
240,2,237,339.1643,0.0695,676.7255,676.3141,676.3141,0.0272,3.80,894,100
240,3,344,353.5801,0.1328,1058.3634,1057.7185,1057.7185,0.0788,10.71,853,0
240,3,122,338.8950,0.1329,1014.2791,1013.6630,1013.6630,0.0788,100.00,750,145
241,2,701,312.6932,0.0707,623.7548,623.3719,623.3719,0.0417,100.00,5347,482
241,2,255,354.1985,0.0576,706.8093,706.3825,706.3825,0.0613,100.00,1681,48
241,1,50,339.1589,0.0657,338.3564,338.1516,338.1516,0.0613,5.06,1027,5
241,3,447,353.5695,0.1056,1058.3314,1057.6866,1057.6866,0.7144,100.00,920,0
241,3,75,338.8919,0.1555,1014.2699,1013.6539,1013.6539,0.7144,100.00,606,193
241,3,227,381.9002,0.1462,1143.3772,1142.6787,1142.6787,0.7144,100.00,307,106
242,2,2531,312.6958,0.0724,623.7599,623.3770,623.3770,0.0523,100.00,12013,1109
242,2,506,354.1998,0.0580,706.8118,706.3850,706.3850,0.1450,100.00,1982,55
242,3,167,353.5717,0.1629,1058.3381,1057.6932,1057.6932,0.1450,100.00,909,0
242,2,217,339.1583,0.1224,676.7136,676.3021,676.3021,0.1663,13.64,635,377
242,3,121,381.9003,0.1419,1143.3775,1142.6790,1142.6790,0.1663,100.00,308,106
243,2,3958,312.6972,0.0750,623.7628,623.3798,623.3798,0.0479,100.00,20943,1662
243,2,941,354.2007,0.0570,706.8137,706.3869,706.3869,0.0543,100.00,2056,64
243,3,450,353.5692,0.1718,1058.3308,1057.6859,1057.6859,0.0509,100.00,685,0
243,2,476,339.1489,0.1094,676.6948,676.2833,676.2833,0.0415,25.02,572,308
243,3,159,369.9083,0.2132,1107.3777,1106.7033,1106.7033,0.0415,100.00,510,104
244,2,10506,312.6981,0.0733,623.7647,623.3817,623.3817,0.0494,100.00,29646,2120
244,2,879,354.2004,0.0683,706.8131,706.3863,706.3863,0.0572,100.00,2090,64
244,2,147,303.6897,0.0494,605.7344,605.3649,605.3649,0.0572,100.00,1010,99
244,2,65,366.7062,0.2647,731.8492,731.3979,731.3979,0.0572,100.00,824,36
244,3,326,369.9090,0.1726,1107.3795,1106.7051,1106.7051,0.0348,100.00,628,104
244,2,142,339.1528,0.1809,676.7026,676.2911,676.2911,0.0348,100.00,622,308
244,3,255,353.5585,0.2443,1058.2986,1057.6537,1057.6537,0.0348,100.00,514,0
244,1,77,386.1909,0.0586,385.4177,385.1836,385.1836,0.0348,3.22,444,152
244,1,140,385.1872,0.0826,384.4138,384.1799,384.1799,0.0348,29.10,428,173
245,2,14658,312.6994,0.0772,623.7671,623.3842,623.3842,0.0456,100.00,35138,2634
245,2,500,354.1986,0.0647,706.8094,706.3826,706.3826,0.0498,100.00,1960,64
245,2,526,366.7059,0.2327,731.8486,731.3972,731.3972,0.0466,100.00,938,36
245,3,354,369.9090,0.1646,1107.3795,1106.7051,1106.7051,0.0622,100.00,628,14
245,2,118,339.1517,0.1424,676.7003,676.2889,676.2889,0.0622,7.41,543,308
245,1,421,386.1899,0.0550,385.4167,385.1827,385.1827,0.0335,3.45,448,150
245,3,15,353.5531,0.3841,1058.2822,1057.6374,1057.6374,0.0335,100.00,438,0
245,3,442,395.5935,0.1657,1184.4841,1183.7588,1183.7588,0.0459,4.44,436,259
245,1,227,385.1873,0.0807,384.4139,384.1800,384.1800,0.0459,29.42,433,173
246,2,14024,312.6740,0.0597,623.7164,623.3334,623.3334,0.0491,100.00,26159,1312
246,2,14024,312.7116,0.1304,623.7916,623.4086,623.4086,0.0491,100.00,19471,1654
246,1,6312,312.6544,0.0283,311.8385,311.6471,311.6471,0.0491,100.00,8513,18
246,2,14024,312.7313,0.1075,623.8310,623.4480,623.4480,0.0491,100.00,5412,567
246,2,188,354.1929,0.0515,706.7980,706.3712,706.3712,0.0491,100.00,1136,39
246,2,525,366.6983,0.0928,731.8333,731.3820,731.3820,0.0703,100.00,1136,29
246,2,525,366.6776,0.1091,731.7919,731.3406,731.3406,0.0703,100.00,881,19
246,2,525,366.7180,0.3020,731.8728,731.4215,731.4215,0.0703,100.00,723,22
246,10,595,313.1425,0.3605,3122.3438,3120.3494,3121.3523,0.0703,100.00,0,529
246,3,139,343.8627,0.1548,1029.1974,1028.5662,1028.5662,0.0703,100.00,560,22
246,1,150,340.6525,0.3915,339.8522,339.6452,339.6452,0.0703,100.00,548,0
246,2,10918,312.7519,0.0907,623.8722,623.4892,623.4892,0.0703,100.00,520,29
246,3,24,395.9186,0.2239,1185.4594,1184.7339,1184.7339,0.0703,100.00,402,28
246,1,150,340.6325,0.2382,339.8322,339.6252,339.6252,0.0703,100.00,394,0
246,1,359,313.6510,0.0275,312.8353,312.6438,312.6438,0.0703,100.00,387,0
246,1,150,340.6718,0.0518,339.8715,339.6646,339.6646,0.0703,100.00,372,0
247,2,10421,312.6998,0.0792,623.7680,623.3851,623.3851,0.0469,100.00,28901,1989
247,2,231,366.7092,0.0796,731.8552,731.4038,731.4038,0.0283,100.00,1446,36
247,3,183,432.5500,0.3464,1295.4218,1294.6282,1294.6282,0.0283,10.00,1064,60
247,3,199,400.2156,0.0799,1198.3539,1197.6249,1197.6249,0.0283,100.00,830,183
247,2,194,341.6631,0.0637,679.7183,679.3061,679.3061,0.0283,4.18,612,664
247,1,183,340.6607,0.0770,339.8604,339.6534,339.6534,0.0283,100.00,612,56
247,1,53,385.1876,0.3270,384.4142,384.1803,384.1803,0.0283,100.00,428,141
248,2,3647,312.6999,0.0780,623.7683,623.3854,623.3854,0.0483,100.00,19630,1286
248,3,112,432.2427,0.1602,1294.4999,1293.7064,1293.7064,0.0483,100.00,1349,121
248,3,559,400.2233,0.1110,1198.3769,1197.6480,1197.6480,0.6615,100.00,1217,187
248,2,480,366.7064,0.1039,731.8497,731.3983,731.3983,0.0537,100.00,1031,78
248,1,554,340.6578,0.1640,339.8575,339.6505,339.6505,0.0525,100.00,694,56
248,3,171,476.6062,0.1191,1427.7501,1426.7969,1426.7969,0.0525,52.09,669,103
248,2,277,342.1824,0.1391,682.7627,682.3503,682.3503,0.0496,100.00,415,0
249,2,1025,312.6997,0.0958,623.7678,623.3849,623.3849,0.0446,100.00,10272,825
249,3,742,432.2432,0.1364,1294.5012,1293.7077,1293.7077,0.3240,100.00,1621,121
249,3,355,400.2227,0.1049,1198.3753,1197.6464,1197.6464,0.0451,100.00,1216,187
249,2,255,366.7097,0.0398,731.8562,731.4049,731.4049,0.0521,4.32,675,54
249,1,106,340.6564,0.1316,339.8561,339.6491,339.6491,0.0521,100.00,616,56
249,3,255,478.6291,0.2670,1427.8187,1426.8538,1426.8538,0.1070,9.19,718,169
249,2,257,397.2350,0.2173,785.9193,785.4365,785.4365,0.1936,100.00,73,0
249,2,187,342.1824,0.1412,682.7627,682.3503,682.3503,0.1936,100.00,415,0
250,2,292,312.6979,0.1128,623.7641,623.3812,623.3812,0.0000,100.00,3665,105
250,3,1168,432.2412,0.0681,1294.4953,1293.7018,1293.7018,0.0609,100.00,1826,287
250,3,691,400.2212,0.1082,1198.3709,1197.6419,1197.6419,0.0538,100.00,1169,187
250,3,268,476.5986,0.0799,1427.7271,1426.7740,1426.7740,0.0342,100.00,707,294
250,3,2,535.6431,0.2793,1604.9705,1603.9076,1603.9076,0.0342,28.95,361,56
250,2,166,397.2416,0.3542,792.9513,792.4686,792.4686,0.0342,10.70,355,136
250,3,107,405.8773,0.0846,1215.3511,1214.6103,1214.6103,0.0342,100.00,406,214
251,3,365,432.2402,0.0417,1294.4923,1293.6988,1293.6988,0.0743,100.00,1794,277
251,3,136,400.2250,0.0561,1198.3821,1197.6532,1197.6532,0.0743,4.97,865,119
251,2,46,430.7499,0.1374,860.0074,859.4853,859.4853,0.0743,979.04,811,159
251,3,94,476.5977,0.0639,1427.7245,1426.7714,1426.7714,0.0743,100.00,762,324
251,3,458,535.6401,0.2162,1604.9615,1603.8985,1603.8985,0.0623,11.63,536,202
251,2,114,397.2437,0.2656,792.9556,792.4729,792.4729,0.0623,3.48,526,181
251,3,213,479.2628,0.2204,1435.7317,1434.7665,1434.7665,0.0623,100.00,442,157
251,2,248,421.7372,0.0721,841.9684,841.4598,841.4598,0.0989,100.00,414,211
251,1,255,478.6063,0.0814,477.8877,477.5991,477.5991,0.0989,100.00,405,10
252,2,298,430.7437,0.0892,859.9949,859.4728,859.4728,0.0362,100.00,4051,428
252,2,327,421.7372,0.1610,838.9603,838.4518,838.4518,0.0826,100.00,204,57
252,3,432,535.9552,0.1348,1604.9041,1603.8410,1603.8410,0.0465,100.00,673,227
252,2,6,422.2506,0.2586,839.9871,839.4784,839.4784,0.0465,6.96,70,0
252,3,270,476.5975,0.0660,1427.7238,1426.7707,1426.7707,0.0374,100.00,744,220
252,3,73,432.5877,0.2441,1295.5350,1294.7413,1294.7413,0.0374,100.00,732,28
252,1,52,396.2433,0.2586,390.4683,390.2234,390.2234,0.0374,3.11,310,221
252,3,123,479.2498,0.1413,1435.6928,1434.7276,1434.7276,0.0374,4.78,366,157
252,1,208,397.2476,0.0265,396.4853,396.2403,396.2403,0.0374,4.06,345,0
253,2,786,430.7432,0.0636,859.9939,859.4718,859.4718,0.0650,1006.22,16559,1419
253,2,67,421.7417,0.1447,838.9692,838.4607,838.4607,0.0650,100.00,199,57
253,2,318,422.2497,0.2381,842.9935,842.4848,842.4848,0.2495,100.00,1157,146
253,3,388,535.9567,0.1262,1604.9086,1603.8455,1603.8455,0.0527,100.00,672,227
253,4,307,395.9862,0.1464,1580.9644,1579.9160,1579.9160,0.4231,100.00,703,205
253,2,191,425.7376,0.0733,849.9797,849.4606,849.4606,0.4231,39.26,688,107
253,2,188,395.2644,0.3818,782.9786,782.4985,782.4985,0.4231,100.00,134,147
253,1,359,479.5691,0.0917,478.8507,478.5619,478.5619,0.0376,100.00,380,0
254,2,4918,430.7433,0.0469,859.9941,859.4720,859.4720,0.0562,1045.12,38639,3088
254,2,468,421.7545,0.2200,842.0030,841.4944,841.4944,0.0797,623.66,1425,227
254,4,487,395.7304,0.1063,1579.9409,1578.8925,1578.8925,0.0616,5.77,1409,496
254,2,836,425.7432,0.1263,849.9909,849.4718,849.4718,0.0476,53.27,934,333
254,3,296,535.9591,0.1651,1604.9158,1603.8527,1603.8527,0.0448,100.00,540,245
254,3,227,439.6045,0.1939,1316.5999,1315.7917,1315.7917,0.0448,71.59,662,519
254,3,340,476.5917,0.1052,1427.7064,1426.7533,1426.7533,0.0448,3.03,540,359
