Frame, Start, Duration, Pressure1, Pressure2
50, 32.64622, 20.06200, 4.01e+0, 4.017e+0
51, 32.98477, 20.06200, 4.01e+0, 4.023e+0
52, 33.32278, 20.06200, 4.01e+0, 4.024e+0
53, 33.66107, 20.06200, 4.00e+0, 4.020e+0
54, 33.99908, 20.06200, 3.99e+0, 4.015e+0
55, 34.33762, 20.06200, 4.01e+0, 4.017e+0
56, 34.67590, 20.06200, 4.00e+0, 4.020e+0
57, 35.01393, 20.06200, 4.01e+0, 4.022e+0
58, 35.35220, 20.06200, 4.00e+0, 4.019e+0
59, 35.69023, 20.06200, 4.00e+0, 4.017e+0
60, 36.02852, 20.06200, 4.00e+0, 4.021e+0
61, 36.36705, 20.06200, 4.01e+0, 4.022e+0
62, 36.70507, 20.06200, 4.01e+0, 4.022e+0
63, 37.04335, 20.06200, 4.01e+0, 4.023e+0
64, 37.38137, 20.06200, 4.01e+0, 4.022e+0
65, 37.71965, 20.06200, 4.01e+0, 4.023e+0
66, 38.05768, 20.06200, 4.01e+0, 4.022e+0
67, 38.39595, 20.06200, 4.01e+0, 4.020e+0
68, 38.73398, 20.06200, 4.00e+0, 4.021e+0
69, 39.07227, 20.06200, 4.01e+0, 4.019e+0
70, 39.41028, 20.06200, 4.01e+0, 4.021e+0
71, 39.74882, 20.06200, 4.00e+0, 4.020e+0
72, 40.08685, 20.06200, 4.00e+0, 4.021e+0
73, 40.42512, 20.06200, 4.00e+0, 4.017e+0
74, 40.76367, 20.06200, 4.01e+0, 4.022e+0
75, 41.10168, 20.06200, 4.01e+0, 4.023e+0
76, 41.43997, 20.06200, 4.01e+0, 4.022e+0
77, 41.77798, 20.06200, 4.01e+0, 4.015e+0
78, 42.11627, 20.06200, 4.00e+0, 4.023e+0
79, 42.45428, 20.06200, 4.02e+0, 4.027e+0
80, 42.79257, 20.06200, 4.01e+0, 4.023e+0
81, 43.13085, 20.06200, 4.01e+0, 4.024e+0
82, 43.46913, 20.06200, 4.01e+0, 4.023e+0
83, 43.80715, 20.06200, 4.00e+0, 4.019e+0
84, 44.14543, 20.06200, 4.00e+0, 4.016e+0
85, 44.48372, 20.06200, 4.01e+0, 4.020e+0
86, 44.82173, 20.06200, 4.01e+0, 4.025e+0
87, 45.16002, 20.06200, 4.01e+0, 4.022e+0
88, 45.49803, 20.06200, 4.01e+0, 4.021e+0
89, 45.83632, 20.06200, 4.00e+0, 4.023e+0
90, 46.17435, 20.06200, 4.00e+0, 4.018e+0
91, 46.51288, 20.06200, 3.99e+0, 4.021e+0
92, 46.85117, 20.06200, 4.01e+0, 4.019e+0
93, 47.18918, 20.06200, 4.01e+0, 4.025e+0
94, 47.52747, 20.06200, 4.01e+0, 4.021e+0
95, 47.86548, 20.06200, 4.00e+0, 4.021e+0
96, 48.20377, 20.06200, 4.01e+0, 4.019e+0
97, 48.54178, 20.06200, 4.01e+0, 4.021e+0
98, 48.88007, 20.06200, 4.00e+0, 4.017e+0
99, 49.21810, 20.06200, 4.00e+0, 4.023e+0
100, 49.55637, 20.06200, 4.01e+0, 4.019e+0
101, 49.89440, 20.06200, 4.00e+0, 4.022e+0
102, 50.23268, 20.06200, 4.00e+0, 4.019e+0
103, 50.57122, 20.06200, 4.01e+0, 4.020e+0
104, 50.90950, 20.06200, 4.01e+0, 4.021e+0
105, 51.24752, 20.06200, 4.00e+0, 4.016e+0
106, 51.58607, 20.06200, 4.00e+0, 4.018e+0
107, 51.92408, 20.06200, 4.01e+0, 4.023e+0
108, 52.26237, 20.06200, 4.01e+0, 4.021e+0
109, 52.60038, 20.06200, 4.00e+0, 4.016e+0
110, 52.93918, 20.04600, 3.99e+0, 4.014e+0
111, 53.27720, 20.06200, 4.01e+0, 4.020e+0
112, 53.61548, 20.06200, 4.01e+0, 4.017e+0
113, 53.95352, 20.06200, 4.01e+0, 4.018e+0
114, 54.29178, 20.06200, 4.00e+0, 4.017e+0
115, 54.62982, 20.06200, 4.00e+0, 4.020e+0
116, 54.96810, 20.06200, 4.01e+0, 4.020e+0
117, 55.30612, 20.06200, 4.00e+0, 4.017e+0
118, 55.64440, 20.06200, 3.99e+0, 4.014e+0
119, 55.98242, 20.06200, 4.01e+0, 4.019e+0
120, 56.32095, 20.06200, 4.00e+0, 4.015e+0
121, 56.65923, 20.04600, 4.00e+0, 4.017e+0
122, 56.99727, 20.06200, 4.00e+0, 4.017e+0
123, 57.33553, 20.06200, 4.00e+0, 4.016e+0
124, 57.67382, 20.06200, 4.01e+0, 4.016e+0
125, 58.01185, 20.06200, 4.02e+0, 4.021e+0
126, 58.35012, 20.06200, 4.00e+0, 4.020e+0
127, 58.68815, 20.06200, 4.00e+0, 4.018e+0
128, 59.02668, 20.06200, 4.00e+0, 4.020e+0
129, 59.36497, 20.04600, 4.01e+0, 4.019e+0
130, 59.70325, 20.06200, 4.01e+0, 4.016e+0
131, 0.04153, 20.06200, 4.01e+0, 4.020e+0
132, 0.37955, 20.06200, 3.99e+0, 4.016e+0
133, 0.71783, 20.06200, 4.00e+0, 4.013e+0
134, 1.05612, 20.04600, 4.00e+0, 4.012e+0
135, 1.39413, 20.06200, 4.00e+0, 4.017e+0
136, 1.73242, 20.04600, 4.00e+0, 4.013e+0
137, 2.07043, 20.06200, 4.01e+0, 4.018e+0
138, 2.40872, 20.04600, 4.00e+0, 4.019e+0
139, 2.74673, 20.06200, 4.00e+0, 4.014e+0
140, 3.08502, 20.06200, 4.00e+0, 4.017e+0
141, 3.42330, 20.06200, 4.01e+0, 4.017e+0
142, 3.76132, 20.06200, 4.00e+0, 4.013e+0
143, 4.09960, 20.06200, 4.01e+0, 4.018e+0
144, 4.43788, 20.04600, 4.00e+0, 4.017e+0
145, 4.77590, 20.06200, 4.00e+0, 4.014e+0
146, 5.11418, 20.04600, 4.00e+0, 4.020e+0
147, 5.45220, 20.06200, 4.01e+0, 4.018e+0
148, 5.79048, 20.06200, 4.00e+0, 4.015e+0
149, 6.12852, 20.06200, 4.01e+0, 4.019e+0
150, 6.46705, 20.06200, 4.01e+0, 4.016e+0
151, 6.80507, 20.06200, 3.99e+0, 4.013e+0
152, 7.14335, 20.06200, 4.00e+0, 4.016e+0
153, 7.48137, 20.06200, 4.01e+0, 4.019e+0
154, 7.81965, 20.06200, 4.01e+0, 4.017e+0
155, 8.15793, 20.06200, 4.01e+0, 4.015e+0
156, 8.49595, 20.06200, 4.01e+0, 4.018e+0
157, 8.83423, 20.06200, 4.00e+0, 4.008e+0
158, 9.17303, 20.06200, 4.01e+0, 4.016e+0
159, 9.51132, 20.04600, 4.00e+0, 4.016e+0
160, 9.84987, 20.06200, 4.01e+0, 4.018e+0
161, 10.18815, 20.06200, 4.01e+0, 4.022e+0
162, 10.52668, 20.06200, 4.01e+0, 4.019e+0
163, 10.86470, 20.06200, 3.99e+0, 4.013e+0
164, 11.20298, 20.06200, 4.00e+0, 4.014e+0
165, 11.54102, 20.06200, 4.00e+0, 4.013e+0
166, 11.87928, 20.06200, 4.00e+0, 4.015e+0
167, 12.21732, 20.06200, 4.00e+0, 4.012e+0
168, 12.55560, 20.06200, 4.00e+0, 4.017e+0
169, 12.89387, 20.04600, 4.01e+0, 4.015e+0
170, 13.23320, 20.06200, 4.01e+0, 4.013e+0
171, 13.57122, 20.06200, 4.01e+0, 4.015e+0
172, 13.90950, 20.06200, 4.00e+0, 4.011e+0
173, 14.24752, 20.06200, 4.00e+0, 4.012e+0
174, 14.58580, 20.06200, 4.00e+0, 4.016e+0
175, 14.92382, 20.06200, 4.01e+0, 4.013e+0
176, 15.26210, 20.06200, 4.01e+0, 4.016e+0
177, 15.60038, 20.04600, 4.00e+0, 4.012e+0
178, 15.93840, 20.06200, 3.99e+0, 4.014e+0
179, 16.27668, 20.04600, 4.00e+0, 4.014e+0
180, 16.61497, 20.07800, 4.00e+0, 4.016e+0
181, 16.95325, 20.06200, 4.00e+0, 4.013e+0
182, 17.29153, 20.06200, 4.01e+0, 4.020e+0
183, 17.62955, 20.06200, 4.00e+0, 4.019e+0
184, 17.96783, 20.06200, 4.01e+0, 4.019e+0
185, 18.30663, 20.06200, 4.00e+0, 4.012e+0
186, 18.64492, 20.06200, 4.01e+0, 4.018e+0
187, 18.98293, 20.06200, 4.01e+0, 4.019e+0
188, 19.32122, 20.06200, 4.00e+0, 4.014e+0
189, 19.65977, 20.06200, 3.99e+0, 4.014e+0
190, 19.99803, 20.06200, 4.01e+0, 4.017e+0
191, 20.33632, 20.06200, 3.99e+0, 4.013e+0
192, 20.67435, 20.06200, 4.00e+0, 4.013e+0
193, 21.01262, 20.06200, 4.01e+0, 4.016e+0
194, 21.35065, 20.06200, 4.00e+0, 4.015e+0
195, 21.68893, 20.06200, 4.01e+0, 4.020e+0
196, 22.02695, 20.06200, 4.00e+0, 4.017e+0
197, 22.36523, 20.06200, 4.00e+0, 4.015e+0
198, 22.70352, 20.04600, 4.01e+0, 4.017e+0
199, 23.04153, 20.06200, 4.00e+0, 4.015e+0
200, 23.38007, 20.04600, 4.01e+0, 4.018e+0
201, 23.71810, 20.06200, 4.01e+0, 4.019e+0
202, 24.05637, 20.04600, 4.01e+0, 4.020e+0
203, 24.39465, 20.06200, 4.00e+0, 4.015e+0
204, 24.73345, 20.06200, 3.99e+0, 4.013e+0
205, 25.07200, 20.06200, 4.00e+0, 4.019e+0
206, 25.41028, 20.06200, 4.00e+0, 4.017e+0
207, 25.74830, 20.06200, 4.01e+0, 4.017e+0
208, 26.08658, 20.06200, 4.01e+0, 4.022e+0
209, 26.42487, 20.04600, 3.99e+0, 4.012e+0
210, 26.76288, 20.06200, 4.00e+0, 4.015e+0
211, 27.10143, 20.06200, 4.01e+0, 4.015e+0
212, 27.43970, 20.06200, 4.00e+0, 4.016e+0
213, 27.77773, 20.06200, 4.01e+0, 4.016e+0
214, 28.11602, 20.06200, 4.01e+0, 4.017e+0
215, 28.45403, 20.06200, 4.01e+0, 4.018e+0
216, 28.79232, 20.06200, 4.00e+0, 4.015e+0
217, 29.13060, 20.06200, 4.01e+0, 4.017e+0
218, 29.46862, 20.06200, 4.00e+0, 4.017e+0
219, 29.80690, 20.06200, 3.99e+0, 4.011e+0
220, 30.14492, 20.06200, 4.00e+0, 4.017e+0
221, 30.48345, 20.06200, 4.00e+0, 4.017e+0
222, 30.82173, 20.06200, 4.01e+0, 4.018e+0
223, 31.16002, 20.04600, 4.00e+0, 4.018e+0
224, 31.49803, 20.06200, 4.00e+0, 4.017e+0
225, 31.83658, 20.06200, 4.01e+0, 4.017e+0
226, 32.17487, 20.06200, 4.00e+0, 4.010e+0
227, 32.51288, 20.06200, 3.99e+0, 4.009e+0
228, 32.85117, 20.06200, 4.01e+0, 4.020e+0
229, 33.18945, 20.04600, 4.01e+0, 4.018e+0
230, 33.52747, 20.06200, 4.00e+0, 4.018e+0
231, 33.86602, 20.06200, 4.00e+0, 4.014e+0
232, 34.20507, 20.06200, 4.00e+0, 4.015e+0
