scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance
223,2,406,295.6267,0.0687,589.5966,589.2390,589.2390,0.0731,100.00,1576,0
224,2,859,295.6280,0.0735,589.5991,589.2414,589.2414,0.0465,100.00,2059,34
225,2,942,295.6278,0.0718,589.5988,589.2411,589.2411,0.0430,100.00,2073,34
225,2,449,286.6241,0.0438,571.5794,571.2338,571.2338,0.0416,100.00,729,146
226,2,831,295.6291,0.0680,589.6014,589.2437,589.2437,0.0383,100.00,1786,34
227,2,103,295.6272,0.0574,589.5976,589.2399,589.2399,0.0000,100.00,1305,34
227,1,115,286.6259,0.0489,285.7953,285.6186,285.6186,0.0000,100.00,926,114
228,2,300,286.6257,0.0498,571.5826,571.2369,571.2369,0.0000,5.78,721,288
229,2,160,286.6279,0.1193,571.5869,571.2412,571.2412,0.0000,100.00,442,188
230,2,145,286.6293,0.0786,571.5898,571.2441,571.2441,0.0000,100.00,377,161
232,3,27,346.5315,0.0677,1037.2051,1036.5727,1036.5727,0.0000,100.00,555,215
233,3,357,346.5425,0.1235,1037.2380,1036.6055,1036.6055,2.7640,100.00,718,313
234,3,443,346.5403,0.1808,1037.2315,1036.5991,1036.5991,0.1784,100.00,871,517
235,3,465,346.5421,0.2049,1037.2369,1036.6045,1036.6045,0.0329,100.00,1059,549
235,3,16,402.5732,0.2660,1205.4371,1204.6978,1204.6978,0.0329,4.51,385,49
236,3,153,402.2416,0.2776,1204.4422,1203.7031,1203.7031,0.0000,100.00,288,0
237,1,143,347.2120,0.3033,346.4128,346.2047,346.2047,0.0000,3.55,333,0
238,2,128,312.6939,0.0397,623.7562,623.3732,623.3732,0.0000,100.00,854,0
238,2,231,303.6900,0.1159,601.7243,601.3548,601.3548,0.0000,100.00,143,0
238,2,205,304.1891,0.1141,606.7333,606.3637,606.3637,0.0000,100.00,291,53
239,2,255,312.6919,0.0643,623.7521,623.3692,623.3692,4.3608,100.00,2003,63
239,2,795,339.1588,0.0939,676.7146,676.3031,676.3031,0.0488,100.00,1228,118
239,2,255,303.6920,0.1414,605.7389,605.3695,605.3695,0.0280,100.00,356,9
240,2,759,312.6963,0.0647,623.7610,623.3781,623.3781,1.0657,100.00,3033,410
240,2,458,339.1576,0.0684,676.7121,676.3006,676.3006,0.0430,3.78,1381,118
240,2,123,303.6881,0.0682,605.7311,605.3617,605.3617,0.0430,100.00,394,9
241,2,1608,312.6983,0.0731,623.7651,623.3821,623.3821,0.0549,100.00,5512,494
241,3,353,369.9059,0.0996,1107.3705,1106.6960,1106.6960,1.6678,100.00,1997,436
241,2,45,339.1589,0.0621,676.7147,676.3033,676.3033,1.6678,3.93,1274,192
241,3,26,417.5793,0.2063,1250.4828,1249.7161,1249.7161,1.6678,4.07,286,48
241,3,184,417.2674,0.3356,1249.5470,1248.7804,1248.7804,1.6678,3.11,265,72
241,3,60,353.8929,0.3622,1063.2851,1062.6401,1062.6401,1.6678,3.03,9,0
242,2,1971,312.6971,0.0730,623.7626,623.3796,623.3796,0.0377,100.00,12144,874
242,3,298,369.9093,0.0769,1107.3806,1106.7061,1106.7061,0.7142,100.00,4924,1117
242,2,36,354.2053,0.0851,706.8229,706.3961,706.3961,0.7142,100.00,977,18
242,2,454,339.1590,0.0414,676.7150,676.3036,676.3036,0.0348,5.19,731,185
242,3,447,417.5805,0.2267,1250.4865,1249.7198,1249.7198,0.0325,4.46,381,73
242,3,22,353.5698,0.1933,1058.3324,1057.6875,1057.6875,0.0325,100.00,295,0
243,2,4164,312.6960,0.0684,623.7604,623.3774,623.3774,0.0441,100.00,20480,1482
243,3,2290,369.9107,0.0852,1107.3848,1106.7104,1106.7104,0.0491,100.00,8233,1498
243,2,438,354.2025,0.0980,706.8172,706.3904,706.3904,0.0622,100.00,1098,18
243,3,226,417.2572,0.1659,1249.5165,1248.7499,1248.7499,0.0622,100.00,634,72
243,2,173,339.1521,0.0733,676.7012,676.2897,676.2897,0.0622,9.02,586,283
243,3,212,443.9293,0.0389,1329.5761,1328.7660,1328.7660,0.0622,301.82,465,117
243,2,134,366.6970,0.1102,731.8307,731.3794,731.3794,0.0622,8.03,461,0
243,1,159,340.6481,0.0542,339.8478,339.6408,339.6408,0.0622,100.00,331,38
244,2,10547,312.6970,0.0738,623.7623,623.3794,623.3794,0.0483,100.00,29185,1768
244,3,3997,369.9095,0.0662,1107.3810,1106.7065,1106.7065,0.0544,100.00,10185,2089
244,2,616,354.2043,0.1251,706.8209,706.3941,706.3941,0.0482,100.00,1501,18
244,2,280,303.6877,0.1413,605.7303,605.3609,605.3609,0.0482,100.00,602,13
244,3,160,417.2513,0.1293,1249.4987,1248.7322,1248.7322,0.0482,100.00,528,169
244,3,119,444.2629,0.0736,1329.5741,1328.7639,1328.7639,0.0482,4.39,465,117
244,2,17,367.2215,0.1667,732.8800,732.4285,732.4285,0.0482,100.00,397,25
245,2,13789,312.6973,0.0712,623.7630,623.3800,623.3800,0.0454,100.00,34177,1788
245,3,4367,369.9087,0.0638,1107.3789,1106.7044,1106.7044,0.0563,100.00,10549,2249
245,2,203,303.6887,0.1513,605.7323,605.3629,605.3629,0.0563,100.00,739,13
246,2,15538,312.6965,0.0706,623.7615,623.3785,623.3785,0.0456,100.00,34581,1837
246,3,3383,369.9096,0.0641,1107.3815,1106.7071,1106.7071,0.0505,100.00,9520,1848
246,2,176,303.6879,0.2121,605.7308,605.3614,605.3614,0.0505,100.00,711,13
246,3,82,417.2421,0.1960,1249.4709,1248.7044,1248.7044,0.0505,100.00,598,159
247,2,9436,312.6966,0.0660,623.7617,623.3787,623.3787,0.0481,100.00,28058,1647
247,3,958,369.9091,0.0716,1107.3799,1106.7054,1106.7054,0.0870,124.76,6605,1174
247,3,159,416.9010,0.0356,1248.4383,1247.6812,1247.6812,0.0870,100.00,733,251
247,2,272,303.6873,0.2244,605.7294,605.3600,605.3600,0.0870,100.00,516,13
