scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance
232,3,239,401.8967,0.1484,1203.3980,1202.6683,1202.6683,0.0324,100.00,1550,480
233,3,1112,401.8961,0.1675,1203.3961,1202.6664,1202.6664,0.0598,100.00,3134,627
234,3,869,401.8971,0.1502,1203.3993,1202.6696,1202.6696,0.0651,100.00,3530,696
235,3,2614,401.8974,0.1374,1203.4000,1202.6703,1202.6703,0.0465,100.00,3702,696
236,3,575,401.8977,0.1118,1203.4009,1202.6712,1202.6712,0.0518,100.00,2969,723
236,2,471,288.1739,0.0418,574.6887,574.3333,574.3333,0.0312,3.07,431,0
237,3,382,401.8965,0.1455,1203.3975,1202.6678,1202.6678,0.0689,100.00,2316,299
237,2,286,288.1739,0.0445,574.6887,574.3333,574.3333,6.9401,3.07,431,0
238,3,80,401.8987,0.1472,1203.4041,1202.6744,1202.6744,0.0000,100.00,732,152
239,3,135,401.8950,0.1372,1203.3930,1202.6633,1202.6633,0.0000,100.00,436,82
240,3,271,322.2012,0.0950,964.1718,963.5818,963.5818,1.2619,100.00,1444,387
240,3,171,369.9115,0.0898,1107.3873,1106.7128,1106.7128,1.2619,100.00,475,68
241,3,383,322.2036,0.0991,964.1788,963.5889,963.5889,0.0522,100.00,2294,581
241,3,111,369.9107,0.0588,1107.3848,1106.7103,1106.7103,0.0522,100.00,1651,297
242,3,582,369.9090,0.0416,1107.3797,1106.7052,1106.7052,0.0000,100.00,3656,658
242,3,1474,322.2025,0.1285,964.1756,963.5857,963.5857,0.0497,100.00,2414,739
243,3,1486,369.9104,0.0451,1107.3839,1106.7094,1106.7094,0.0588,100.00,7325,1288
243,3,1174,322.2022,0.1751,964.1747,963.5848,963.5848,0.0553,100.00,2244,714
244,3,2564,369.9097,0.0411,1107.3817,1106.7072,1106.7072,0.0659,100.00,8488,1492
244,3,269,322.2019,0.2257,964.1739,963.5840,963.5840,0.0659,100.00,2022,710
244,3,175,444.2434,0.1715,1330.5185,1329.7083,1329.7083,0.0659,100.00,427,0
245,3,5194,369.9102,0.0429,1107.3833,1106.7089,1106.7089,0.0582,100.00,8778,1559
245,3,389,322.5326,0.1272,965.1661,964.5760,964.5760,0.0467,100.00,1506,18
245,3,155,444.2449,0.3469,1330.5230,1329.7128,1329.7128,0.0467,100.00,582,0
245,2,40,366.7121,0.2058,731.8610,731.4096,731.4096,0.0467,100.00,431,225
246,3,1717,369.9104,0.0450,1107.3837,1106.7093,1106.7093,0.0523,100.00,7835,1389
246,3,3,322.5326,0.1278,965.1660,964.5759,964.5759,0.0523,100.00,883,18
246,2,326,305.1846,0.0623,608.7246,608.3548,608.3548,0.4876,100.00,483,165
246,2,420,366.7119,0.2003,731.8605,731.4092,731.4092,0.0478,100.00,437,232
247,3,1032,369.9119,0.0510,1107.3884,1106.7140,1106.7140,0.7618,100.00,6095,969
247,2,232,366.7119,0.2086,731.8605,731.4092,731.4092,0.0371,100.00,437,232
248,3,316,369.9115,0.0522,1107.3871,1106.7127,1106.7127,1.0491,100.00,2365,340
248,2,40,366.7133,0.1178,731.8634,731.4120,731.4120,1.0491,100.00,491,123
249,2,185,378.7122,0.1065,755.8739,755.4098,755.4098,0.0000,59.47,1524,194
249,3,439,369.9180,0.0996,1107.4067,1106.7322,1106.7322,0.0388,100.00,1207,165
250,2,497,378.7088,0.0783,755.8672,755.4030,755.4030,0.0463,119.22,3055,488
250,2,506,383.7093,0.1669,758.8508,758.3852,758.3852,0.1092,100.00,219,81
250,3,32,437.5513,0.2699,1310.4281,1309.6322,1309.6322,0.1092,6.43,331,0
250,2,255,384.2057,0.2286,758.8387,758.3729,758.3729,0.0449,100.00,219,81
251,2,1835,378.7114,0.0923,755.8724,755.4083,755.4083,0.0498,174.69,4477,686
251,3,42,535.9619,0.1810,1604.9241,1603.8610,1603.8610,0.0498,100.00,456,105
251,1,22,389.8826,0.0906,384.0973,383.8628,383.8628,0.0498,3.31,421,149
251,2,33,383.7094,0.1659,765.8698,765.4042,765.4042,0.0498,73.11,357,70
251,1,223,390.8700,0.0649,390.0974,389.8628,389.8628,0.0528,100.00,350,283
251,2,139,453.2275,0.2927,904.9900,904.4405,904.4405,0.0528,3.67,327,54
252,2,2558,378.7084,0.0684,755.8663,755.4022,755.4022,0.0469,100.00,5638,682
252,4,46,422.2505,0.1491,1685.0860,1683.9701,1683.9701,0.0469,4.43,796,258
252,3,616,535.9600,0.1281,1605.9213,1604.8582,1604.8582,0.0436,100.00,601,133
252,3,255,389.8880,0.0887,1167.3555,1166.6421,1166.6421,0.0436,9.10,561,93
252,2,157,425.7320,0.1220,849.9686,849.4496,849.4496,0.0436,100.00,458,14
252,4,344,453.9661,0.1912,1812.0290,1810.8325,1811.8354,0.0436,10.00,330,163
252,1,255,390.8754,0.0651,390.1028,389.8681,389.8681,0.2241,100.00,341,12
252,2,70,453.2222,0.3339,904.9793,904.4298,904.4298,0.2241,3.01,326,163
253,2,2312,378.7060,0.0550,755.8616,755.3974,755.3974,0.0457,100.00,6003,711
253,4,289,422.2529,0.1237,1685.0957,1683.9798,1683.9798,0.1899,100.00,1638,826
253,3,711,389.8886,0.0959,1167.3573,1166.6439,1166.6439,0.0409,41.62,752,249
253,3,105,535.9616,0.0888,1605.9261,1604.8630,1604.8630,0.0409,100.00,546,234
253,1,31,390.8754,0.0645,390.1028,389.8681,389.8681,0.0409,26.72,341,12
254,2,1804,378.7043,0.0510,755.8581,755.3940,755.3940,0.0482,100.00,5354,575
254,4,778,422.2533,0.1200,1685.0970,1683.9811,1683.9811,0.0498,100.00,2029,1512
254,3,261,389.8900,0.1238,1167.3617,1166.6483,1166.6483,0.2154,15.32,928,249
254,2,25,406.4536,0.0335,811.3875,810.8927,810.8927,0.2154,100.00,834,190
254,2,232,399.2356,0.1383,796.9399,796.4566,796.4566,0.0921,100.00,553,40
