scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance
218,2,215,225.6219,0.0620,449.5028,449.2292,449.2292,0.0000,100.00,799,0
219,2,357,225.6215,0.0573,449.5022,449.2285,449.2285,0.8328,100.00,1005,0
220,2,703,225.6205,0.0819,449.5001,449.2265,449.2265,9.4914,100.00,1024,0
221,2,254,225.6200,0.1102,449.4990,449.2254,449.2254,0.0000,100.00,950,0
222,2,149,225.6192,0.0813,449.4974,449.2238,449.2238,0.0000,100.00,710,0
231,3,96,401.8903,0.1770,1203.3789,1202.6492,1202.6492,0.0000,100.00,786,34
233,3,1093,401.8948,0.0695,1203.3923,1202.6626,1202.6626,0.0478,100.00,1821,248
234,3,930,401.8970,0.0738,1203.3988,1202.6691,1202.6691,0.0584,100.00,2041,347
235,3,854,401.8999,0.0981,1203.4074,1202.6778,1202.6778,0.0408,100.00,2074,347
236,2,533,288.1675,0.0671,574.6758,574.3204,574.3204,2.9481,100.00,1477,391
236,3,444,401.9021,0.0752,1203.4142,1202.6845,1202.6845,0.0423,100.00,1407,346
237,2,824,288.1667,0.0576,574.6742,574.3188,574.3188,0.0282,100.00,1828,391
237,3,23,402.2274,0.0865,1203.3965,1202.6574,1202.6574,0.0282,89.44,761,297
238,2,843,288.1667,0.0603,574.6743,574.3189,574.3189,0.0447,100.00,1845,391
239,2,426,288.1669,0.0837,574.6747,574.3193,574.3193,0.0482,100.00,1513,368
240,2,131,288.1642,0.0624,574.6693,574.3139,574.3139,0.0000,100.00,1057,165
240,1,173,331.6525,0.1642,324.8335,324.6300,324.6300,0.0000,100.00,150,0
241,1,203,331.6499,0.2550,330.8462,330.6426,330.6426,0.0000,100.00,352,0
242,3,280,369.9107,0.1337,1107.3847,1106.7103,1106.7103,2.3022,100.00,1125,79
242,1,178,331.6459,0.0547,330.8422,330.6386,330.6386,2.3022,4.71,522,0
242,3,11,443.9214,0.1198,1329.5524,1328.7423,1328.7423,2.3022,100.00,344,0
243,3,794,369.9109,0.0939,1107.3853,1106.7109,1106.7109,0.0573,100.00,1157,200
243,3,294,322.1993,0.1656,964.1660,963.5761,963.5761,0.0323,39.18,926,257
243,3,262,437.2196,0.1022,1309.4328,1308.6371,1308.6371,0.6385,100.00,795,48
243,3,92,443.9210,0.1232,1329.5512,1328.7410,1328.7410,0.6385,100.00,465,0
243,1,131,331.6458,0.0775,330.8421,330.6385,330.6385,0.6385,100.00,401,0
244,3,568,369.9094,0.1101,1107.3809,1106.7065,1106.7065,0.0408,100.00,1392,333
244,2,61,305.1917,0.1458,608.7388,608.3690,608.3690,0.0408,100.00,865,6
244,3,325,322.1963,0.0923,964.1571,963.5672,963.5672,0.0561,100.00,806,257
