scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance
247,3,771,408.9445,0.1099,1224.5538,1223.8117,1223.8117,0.0585,100.00,3952,589
247,2,984,305.1984,0.0991,608.7521,608.3822,608.3822,0.0442,100.00,3520,145
247,3,202,395.8965,0.1265,1185.3931,1184.6677,1184.6677,0.0442,100.00,1395,811
247,3,687,413.5257,0.1196,1238.3087,1237.5552,1237.5552,0.0560,100.00,1032,71
247,3,289,437.2214,0.1385,1309.4382,1308.6424,1308.6424,0.0421,11.98,785,46
247,3,255,387.8694,0.2104,1161.2969,1160.5864,1160.5864,0.0418,8.86,428,156
248,3,1688,408.9427,0.0900,1224.5484,1223.8063,1223.8063,0.0577,100.00,5708,1073
248,2,1671,305.1979,0.0952,608.7511,608.3812,608.3812,0.0374,100.00,3815,145
248,3,620,395.8961,0.0814,1185.3918,1184.6664,1184.6664,0.0894,100.00,2321,852
248,2,198,372.1931,0.2174,742.8244,742.3716,742.3716,0.0894,3.39,574,113
249,3,3386,408.9435,0.0885,1224.5507,1223.8086,1223.8086,0.0552,100.00,6227,1575
249,2,1694,305.1974,0.0489,608.7501,608.3803,608.3803,0.0435,100.00,3282,145
249,3,1130,395.8944,0.0975,1185.3869,1184.6615,1184.6615,0.3401,100.00,2979,1103
249,2,15,372.1931,0.1301,742.8246,742.3717,742.3717,0.3401,3.17,511,113
250,3,2304,408.9431,0.0834,1224.5495,1223.8073,1223.8073,0.0575,100.00,5933,1547
250,3,1333,395.8937,0.0971,1185.3848,1184.6593,1184.6593,0.0593,100.00,3113,1019
250,2,705,305.1987,0.0469,608.7526,608.3828,608.3828,0.0311,7.90,2587,87
250,3,202,535.6319,0.1899,1604.9370,1603.8740,1603.8740,0.0311,100.00,923,500
250,3,169,433.6154,0.1643,1298.6184,1297.8243,1297.8243,0.0311,5.34,541,78
250,3,6,491.9200,0.3314,1473.7206,1472.7383,1472.7383,0.0311,3.09,302,34
250,3,184,491.2252,0.1681,1471.6357,1470.6537,1470.6537,0.0311,10.00,382,302
250,3,466,437.1863,0.0856,1309.3329,1308.5372,1308.5372,0.0609,100.00,368,0
250,3,181,534.2541,0.1780,1600.8028,1599.7405,1599.7405,0.0609,4.37,367,68
251,3,1000,408.9417,0.0796,1224.5456,1223.8034,1223.8034,0.0503,100.00,4920,1318
251,3,894,395.8928,0.1019,1185.3819,1184.6565,1184.6565,0.0484,100.00,2665,877
251,2,41,305.2013,0.0537,608.7579,608.3880,608.3880,0.0484,9.35,1481,0
251,3,280,535.9553,0.0631,1604.9043,1603.8412,1603.8412,0.0499,100.00,1270,831
251,3,261,433.6155,0.1381,1298.6188,1297.8247,1297.8247,0.0451,5.69,1033,209
251,3,91,413.8670,0.0732,1239.3330,1238.5793,1238.5793,0.0451,100.00,760,124
251,3,421,491.5717,0.1407,1472.6753,1471.6932,1471.6932,0.0426,100.00,627,115
251,3,197,534.5747,0.2289,1600.7620,1599.6995,1599.6995,0.0426,5.52,376,68
251,3,111,437.1869,0.0860,1309.3346,1308.5388,1308.5388,0.0426,100.00,374,0
252,3,415,408.9403,0.0687,1224.5414,1223.7992,1223.7992,0.0000,100.00,2723,985
252,3,358,395.8931,0.1191,1185.3831,1184.6576,1184.6576,0.0943,119.07,1826,297
